siteId,treeId,status,dbhCm,circumferenceCm,radiusM,fitPoints,sectionPointCount,angularCoverageRatio,residualM,verticality,validatedSlices,centerSpreadM,radiusCv,qaFlags
site-001,SITE-001-CFO-001,C_STRUCTURE_RISK,59.701,187.558,0.29851,355,898,1.0,0.02288,0.997,5,0.15385,0.106,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
site-001,SITE-001-CFO-002,B_LOW_CONFIDENCE,9.105,28.605,0.04553,69,426,0.875,0.01047,0.996,5,0.14946,0.623,RADIUS_VARIATION_HIGH
site-001,SITE-001-CFO-003,C_STRUCTURE_RISK,55.033,172.891,0.27516,320,749,0.95833,0.02408,0.994,4,0.18315,0.426,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-004,C_STRUCTURE_RISK,59.435,186.72,0.29717,88,227,0.83333,0.02624,0.997,5,0.18324,0.385,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-005,B_LOW_CONFIDENCE,33.244,104.438,0.16622,41,149,0.58333,0.01287,0.977,5,0.19959,0.29,CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-006,C_STRUCTURE_RISK,56.106,176.264,0.28053,52,137,0.75,0.02292,0.993,5,0.22717,0.461,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-001,SITE-001-CFO-007,C_STRUCTURE_RISK,52.83,165.97,0.26415,50,148,0.83333,0.02372,1.0,4,0.14946,0.08,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
site-001,SITE-001-CFO-008,C_STRUCTURE_RISK,59.606,187.259,0.29803,51,115,0.83333,0.0244,0.999,4,0.24546,0.196,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-009,B_LOW_CONFIDENCE,31.875,100.137,0.15937,26,56,0.58333,0.01455,0.996,5,0.18915,0.516,CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-001,SITE-001-CFO-010,C_STRUCTURE_RISK,56.945,178.896,0.28472,37,98,0.66667,0.02522,0.991,5,0.1716,0.131,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
