tree_id,detection_status,identity_review_status,protocol_applicability,protocol_resolved,measurement_kind,measurement_height_agl_m,geometric_status,acceptance_status,circumference_cm,dbh_cm,diameter_at_measurement_height_cm,candidate_circumference_cm,candidate_dbh_cm,dbh_definition_applies,field_aid_status,field_aid_source,field_aid_measurement_height_agl_m,field_aid_circumference_cm,field_aid_diameter_cm,field_aid_dbh_cm,field_aid_is_current_protocol_final,field_aid_fit_model,field_aid_marking_source,operationally_excluded,operational_exclusion_decision,legacy_full_resolution_status,legacy_measurement_rule,legacy_measurement_height_agl_m,legacy_circumference_cm,legacy_diameter_cm,legacy_dbh_cm,legacy_is_current_protocol_final,fit_model,point_count,inlier_count,angular_coverage_deg,axis_source,axis_status,axis_uncertainty_m,field_verified,qa_reason_codes,marking_url
TREE_0001,UNCERTAIN,NOT_REVIEWED,NOT_REVIEWED,False,SCREENING_AT_1_30,1.3,NEEDS_REVIEW,NEEDS_LIDAR_REVIEW,,,,198.17,63.08,False,CHECK_ON_SITE,FULL_LAS_REVIEW_CANDIDATE,1.3,198.17,63.08,63.08,False,CIRCLE,CURRENT_FULL_LAS_REFIT,False,,NOT_AVAILABLE,,,,,,False,CIRCLE,834,706,100.0,FROZEN_PHASE5A_AXIS_FALLBACK,PROBABLE,0.087195,False,CIRCLE_ELLIPSE_DISAGREEMENT|FIT_CENTER_INCONSISTENT_WITH_LOCAL_AXIS|LOCAL_AXIS_NOT_SUPPORTED_AT_MEASUREMENT_HEIGHT|POOR_ANGULAR_COVERAGE,data/lidar-measurements/markings/TREE_0001.json
TREE_0002,UNCERTAIN,NOT_REVIEWED,NOT_REVIEWED,False,SCREENING_AT_1_30,1.3,NOT_MEASURABLE,NEEDS_LIDAR_REVIEW,,,,,,False,NO_ESTIMATE,NO_PLAUSIBLE_FIT,1.3,,,,False,,CURRENT_FULL_LAS_REFIT,False,,NOT_AVAILABLE,,,,,,False,,4,0,,FROZEN_PHASE5A_AXIS_FALLBACK,PROBABLE,0.122427,False,INSUFFICIENT_FULL_LAS_POINT_SUPPORT,data/lidar-measurements/markings/TREE_0002.json
TREE_0003,UNCERTAIN,NOT_REVIEWED,NOT_REVIEWED,False,SCREENING_AT_1_30,1.3,MEASURABLE,PROVISIONAL_PROTOCOL_REVIEW_REQUIRED,,,,298.27,94.94,False,EXCLUDED_CONFIRMED_WRONG,HUMAN_OPERATOR_EXCLUSION,1.3,,,,False,CIRCLE,CURRENT_FULL_LAS_REFIT,True,EXCLUDE_CONFIRMED_WRONG,NOT_AVAILABLE,,,,,,False,CIRCLE,29657,19649,260.0,FULL_SOURCE_LAS_LOCAL_AXIS_REFIT,CONFIRMED,0.06522,False,,data/lidar-measurements/markings/TREE_0003.json
TREE_0004,PROBABLE,NOT_REVIEWED,NOT_REVIEWED,False,SCREENING_AT_1_30,1.3,NEEDS_REVIEW,NEEDS_LIDAR_REVIEW,,,,131.28,41.79,False,CHECK_ON_SITE,FULL_LAS_REVIEW_CANDIDATE,1.3,131.28,41.79,41.79,False,CIRCLE,CURRENT_FULL_LAS_REFIT,False,,NOT_AVAILABLE,,,,,,False,CIRCLE,13014,8440,220.0,FROZEN_PHASE5A_AXIS_FALLBACK,PROBABLE,0.014093,False,FIT_CENTER_INCONSISTENT_WITH_LOCAL_AXIS,data/lidar-measurements/markings/TREE_0004.json
TREE_0005,PROBABLE,NOT_REVIEWED,NOT_REVIEWED,False,SCREENING_AT_1_30,1.3,NEEDS_REVIEW,NEEDS_LIDAR_REVIEW,,,,301.08,95.84,False,CHECK_ON_SITE,FULL_LAS_REVIEW_CANDIDATE,1.3,301.08,95.84,95.84,False,CIRCLE,CURRENT_FULL_LAS_REFIT,False,,NOT_AVAILABLE,,,,,,False,CIRCLE,34633,16625,360.0,FULL_SOURCE_LAS_LOCAL_AXIS_REFIT,PROBABLE,0.183595,False,LOCAL_AXIS_UNCERTAINTY_TOO_HIGH,data/lidar-measurements/markings/TREE_0005.json
TREE_0006,UNCERTAIN,NOT_REVIEWED,NOT_REVIEWED,False,SCREENING_AT_1_30,1.3,NEEDS_REVIEW,NEEDS_LIDAR_REVIEW,,,,279.37,88.93,False,CHECK_ON_SITE,FULL_LAS_REVIEW_CANDIDATE,1.3,279.37,88.93,88.93,False,CIRCLE,CURRENT_FULL_LAS_REFIT,False,,NOT_AVAILABLE,,,,,,False,CIRCLE,41354,21172,310.0,FULL_SOURCE_LAS_LOCAL_AXIS_REFIT,PROBABLE,0.165257,False,LOCAL_AXIS_UNCERTAINTY_TOO_HIGH,data/lidar-measurements/markings/TREE_0006.json
TREE_0007,UNCERTAIN,NOT_REVIEWED,NOT_REVIEWED,False,SCREENING_AT_1_30,1.3,NEEDS_REVIEW,NEEDS_LIDAR_REVIEW,,,,195.21,62.14,False,CHECK_ON_SITE,FULL_LAS_REVIEW_CANDIDATE,1.3,195.21,62.14,62.14,False,CIRCLE,CURRENT_FULL_LAS_REFIT,False,,NOT_AVAILABLE,,,,,,False,CIRCLE,25286,7399,360.0,FULL_SOURCE_LAS_LOCAL_AXIS_REFIT,CONFIRMED,0.064337,False,FIT_CENTER_INCONSISTENT_WITH_LOCAL_AXIS,data/lidar-measurements/markings/TREE_0007.json
TREE_0008,PROBABLE,NOT_REVIEWED,NOT_REVIEWED,False,SCREENING_AT_1_30,1.3,MEASURABLE,PROVISIONAL_PROTOCOL_REVIEW_REQUIRED,,,,21.97,6.99,False,READY_FOR_FIELD_USE,FULL_LAS_GEOMETRY_ESTIMATE,1.3,21.97,6.99,6.99,False,CIRCLE,CURRENT_FULL_LAS_REFIT,False,,NOT_AVAILABLE,,,,,,False,CIRCLE,26258,17094,350.0,FULL_SOURCE_LAS_LOCAL_AXIS_REFIT,PROBABLE,0.121741,False,,data/lidar-measurements/markings/TREE_0008.json
TREE_0009,CONFIRMED,NOT_REVIEWED,NOT_REVIEWED,False,SCREENING_AT_1_30,1.3,NEEDS_REVIEW,NEEDS_LIDAR_REVIEW,,,,73.1,23.27,False,CHECK_ON_SITE,FULL_LAS_REVIEW_CANDIDATE,1.3,73.1,23.27,23.27,False,ELLIPSE,CURRENT_FULL_LAS_REFIT,False,,NOT_AVAILABLE,,,,,,False,ELLIPSE,2258,1536,90.0,FROZEN_PHASE5A_AXIS_FALLBACK,PROBABLE,0.0,False,CIRCLE_ELLIPSE_DISAGREEMENT|FIT_CENTER_INCONSISTENT_WITH_LOCAL_AXIS|LOCAL_AXIS_NOT_SUPPORTED_AT_MEASUREMENT_HEIGHT|POOR_ANGULAR_COVERAGE,data/lidar-measurements/markings/TREE_0009.json
TREE_0010,PROBABLE,NOT_REVIEWED,NOT_REVIEWED,False,SCREENING_AT_1_30,1.3,NEEDS_REVIEW,NEEDS_LIDAR_REVIEW,,,,214.04,68.13,False,CHECK_ON_SITE,FULL_LAS_REVIEW_CANDIDATE,1.3,214.04,68.13,68.13,False,CIRCLE,CURRENT_FULL_LAS_REFIT,False,,NOT_AVAILABLE,,,,,,False,CIRCLE,3206,1329,140.0,FULL_SOURCE_LAS_LOCAL_AXIS_REFIT,PROBABLE,0.092493,False,CIRCLE_ELLIPSE_DISAGREEMENT|FIT_CENTER_INCONSISTENT_WITH_LOCAL_AXIS,data/lidar-measurements/markings/TREE_0010.json
