tree_id,status,measurement_kind,measurement_height_agl_m,local_ground_z_m,diameter_cm,dbh_cm,circumference_cm,fit_model,fit_rmse_m,circularity,ellipse_axis_ratio,arc_coverage_deg,radius_stability_mad_m,radius_stability_relative_mad,vertical_continuity_score,supporting_slice_count,point_count,inlier_count,inclination_deg,quality_score,confidence_label,confidence_is_calibrated,field_verified,protocol_final,source_candidate_id,source_track_id,source_slice_orientation,measurement_plane_orientation,perpendicular_refit_performed,reason_codes
TREE_0001,MANUAL_REVIEW,MANUAL_REVIEW,,-6.557283,,,,,0.006118,0.919603,1.087426,220.0,0.004412,0.060003,0.428571,6,477,103,34.001,62.27,MANUAL_REVIEW,False,False,False,C-0561,T15-0038,HORIZONTAL_XY_PROFILE,PERPENDICULAR_TO_LOCAL_STEM_AXIS,False,TREE_DETECTION_UNCERTAIN|AXIS_TOO_INCLINED
TREE_0002,MANUAL_REVIEW,MANUAL_REVIEW,,-6.304098,,,,,0.014513,0.975698,1.024907,200.0,0.00944,0.031601,0.642857,6,290,85,16.904,74.95,MANUAL_REVIEW,False,False,False,C-0776,T15-0061,HORIZONTAL_XY_PROFILE,PERPENDICULAR_TO_LOCAL_STEM_AXIS,False,TREE_DETECTION_UNCERTAIN|NO_DETECTION_QUALITY_STABLE_WINDOW
TREE_0003,MANUAL_REVIEW,MANUAL_REVIEW,,-6.738145,,,,,0.023466,0.721664,1.385687,235.0,0.013407,0.029784,0.857143,6,4552,1235,35.331,71.14,MANUAL_REVIEW,False,False,False,C-0360,T15-0068,HORIZONTAL_XY_PROFILE,PERPENDICULAR_TO_LOCAL_STEM_AXIS,False,OPERATIONALLY_EXCLUDED_TREE_ID|TREE_DETECTION_UNCERTAIN|NO_DETECTION_QUALITY_STABLE_WINDOW|PHASE1_5_AUTOMATIC_QUALITY_FAILED|AXIS_TOO_INCLINED
TREE_0004,ALTERNATIVE_POM,ALTERNATIVE_POM,1.65,-6.703335,6.68,,20.98,PUBLISHED_V2_ROBUST_MULTI_SLICE_CIRCLE_SCREENING,0.004652,0.916105,1.091577,240.0,0.000585,0.017526,1.0,7,2295,203,9.876,83.01,HIGH,False,False,False,C-0001,T15-0084,HORIZONTAL_XY_PROFILE,PERPENDICULAR_TO_LOCAL_STEM_AXIS,False,STANDARD_HEIGHT_UNRELIABLE_CLEANER_WINDOW_SELECTED_ABOVE|STANDARD_REJECTED_CROSS_LANE_DIAMETER_DISAGREEMENT|ROBUST_MULTI_SLICE_WINDOW|POM_NOT_TIED_TO_PROP_ROOT_PLUS_030
TREE_0005,MANUAL_REVIEW,MANUAL_REVIEW,,-5.88,,,,,0.025489,0.962504,1.038956,360.0,0.0099,0.018523,0.75,7,7722,2705,32.556,77.5,MANUAL_REVIEW,False,False,False,C-0362,T15-0087,HORIZONTAL_XY_PROFILE,PERPENDICULAR_TO_LOCAL_STEM_AXIS,False,PHASE1_5_AUTOMATIC_QUALITY_FAILED|AXIS_TOO_INCLINED
TREE_0006,MANUAL_REVIEW,MANUAL_REVIEW,,-6.697005,,,,,0.016364,0.89306,1.119745,220.0,0.008972,0.025118,1.0,7,2959,910,7.183,85.65,MANUAL_REVIEW,False,False,False,C-0457,T15-0100,HORIZONTAL_XY_PROFILE,PERPENDICULAR_TO_LOCAL_STEM_AXIS,False,TREE_DETECTION_UNCERTAIN|NO_DETECTION_QUALITY_STABLE_WINDOW|PHASE1_5_AUTOMATIC_QUALITY_FAILED
TREE_0007,MANUAL_REVIEW,MANUAL_REVIEW,,-6.7283,,,,,0.01944,0.962729,1.038714,270.0,0.019438,0.050381,1.0,7,2156,786,43.271,74.58,MANUAL_REVIEW,False,False,False,C-0407,T15-0115,HORIZONTAL_XY_PROFILE,PERPENDICULAR_TO_LOCAL_STEM_AXIS,False,TREE_DETECTION_UNCERTAIN|NO_DETECTION_QUALITY_STABLE_WINDOW|PHASE1_5_AUTOMATIC_QUALITY_FAILED|AXIS_TOO_INCLINED
TREE_0008,MANUAL_REVIEW,MANUAL_REVIEW,,-6.634229,,,,,,,,,,,,,,,,,MANUAL_REVIEW,False,False,False,,,HORIZONTAL_XY_PROFILE,,False,NO_PUBLISHED_MULTI_HEIGHT_EVIDENCE_FOR_TREE
TREE_0009,MANUAL_REVIEW,MANUAL_REVIEW,,-6.647257,,,,,0.010587,0.277301,3.606186,130.0,0.016195,0.071497,0.25,7,262,108,51.223,44.71,MANUAL_REVIEW,False,False,False,C-0683,T15-0135,HORIZONTAL_XY_PROFILE,PERPENDICULAR_TO_LOCAL_STEM_AXIS,False,NO_DETECTION_QUALITY_STABLE_WINDOW|QUALITY_SCORE_BELOW_THRESHOLD|LOW_CIRCULARITY|AXIS_TOO_INCLINED
TREE_0010,MANUAL_REVIEW,MANUAL_REVIEW,,-6.39995,,,,,,,,,,,,,,,,,MANUAL_REVIEW,False,False,False,,,HORIZONTAL_XY_PROFILE,,False,NO_PUBLISHED_MULTI_HEIGHT_EVIDENCE_FOR_TREE
TREE_0011,MANUAL_REVIEW,MANUAL_REVIEW,,-6.659467,,,,,0.012324,0.934863,1.069676,165.0,0.011753,0.04811,0.0,6,254,42,0.0,54.89,MANUAL_REVIEW,False,False,False,C-0285,T15-0141,HORIZONTAL_XY_PROFILE,PERPENDICULAR_TO_LOCAL_STEM_AXIS,False,NO_DETECTION_QUALITY_STABLE_WINDOW|QUALITY_SCORE_BELOW_THRESHOLD
TREE_0012,MANUAL_REVIEW,MANUAL_REVIEW,,-6.598746,,,,,0.022498,0.981437,1.018914,300.0,0.026358,0.063739,0.857143,6,18740,3609,29.865,75.18,MANUAL_REVIEW,False,False,False,C-0002,T15-0147,HORIZONTAL_XY_PROFILE,PERPENDICULAR_TO_LOCAL_STEM_AXIS,False,TREE_DETECTION_UNCERTAIN|NO_DETECTION_QUALITY_STABLE_WINDOW|PHASE1_5_AUTOMATIC_QUALITY_FAILED
TREE_0013,MANUAL_REVIEW,MANUAL_REVIEW,,-6.778239,,,,,,,,,,,,,,,,,MANUAL_REVIEW,False,False,False,,,HORIZONTAL_XY_PROFILE,,False,TREE_DETECTION_UNCERTAIN|NO_PUBLISHED_MULTI_HEIGHT_EVIDENCE_FOR_TREE
TREE_0014,MANUAL_REVIEW,MANUAL_REVIEW,,-6.200005,,,,,0.005095,0.908391,1.100847,180.0,0.000914,0.015563,1.0,7,2012,654,21.947,74.83,MANUAL_REVIEW,False,False,False,C-0187,T15-0165,HORIZONTAL_XY_PROFILE,PERPENDICULAR_TO_LOCAL_STEM_AXIS,False,TREE_DETECTION_UNCERTAIN
TREE_0015,MANUAL_REVIEW,MANUAL_REVIEW,,-6.618489,,,,,0.018755,0.954055,1.048158,250.0,0.019289,0.050574,0.75,7,7325,2272,29.281,74.3,MANUAL_REVIEW,False,False,False,C-0053,T15-0171,HORIZONTAL_XY_PROFILE,PERPENDICULAR_TO_LOCAL_STEM_AXIS,False,TREE_DETECTION_UNCERTAIN|NO_DETECTION_QUALITY_STABLE_WINDOW|PHASE1_5_AUTOMATIC_QUALITY_FAILED
TREE_0016,MANUAL_REVIEW,MANUAL_REVIEW,,-6.471264,,,,,0.006066,0.924576,1.081577,140.0,0.001757,0.015149,1.0,7,136,55,9.949,78.24,MANUAL_REVIEW,False,False,False,C-0141,T15-0192,HORIZONTAL_XY_PROFILE,PERPENDICULAR_TO_LOCAL_STEM_AXIS,False,TREE_DETECTION_UNCERTAIN|NO_DETECTION_QUALITY_STABLE_WINDOW
