tree_id,status,measurement_kind,measurement_height_agl_m,local_ground_z_m,diameter_cm,dbh_cm,circumference_cm,fit_model,fit_rmse_m,relative_fit_rmse,circularity,ellipse_axis_ratio,arc_coverage_deg,radius_stability_mad_m,radius_stability_relative_mad,supporting_slice_count,point_count,inlier_count,quality_score,confidence_label,detection_status,identity_review_status,perpendicular_refit_performed,field_verified,reason_codes
TREE_0001,MANUAL_REVIEW,MANUAL_REVIEW,,-6.632731,,,,,0.010599,0.049808,0.886334,1.128243,230.0,0.0,0.0,1,2511,648,64.94,MANUAL_REVIEW,UNCERTAIN,NOT_REVIEWED,True,False,TREE_DETECTION_UNCERTAIN|INSUFFICIENT_VERTICAL_CONTINUITY|SECTION_RADIUS_EXCEEDS_AUTOMATIC_COHORT_GUARDRAIL
TREE_0002,MANUAL_REVIEW,MANUAL_REVIEW,,-6.302931,,,,,0.014388,0.045981,0.996647,1.003364,310.0,0.0,0.0,1,8420,2832,85.32,MANUAL_REVIEW,UNCERTAIN,NOT_REVIEWED,True,False,TREE_DETECTION_UNCERTAIN|INSUFFICIENT_VERTICAL_CONTINUITY|SECTION_RADIUS_EXCEEDS_AUTOMATIC_COHORT_GUARDRAIL
TREE_0003,MANUAL_REVIEW,MANUAL_REVIEW,,-6.749943,,,,,0.015707,0.033209,0.993407,1.006637,240.0,0.0,0.0,1,31122,10379,81.59,MANUAL_REVIEW,UNCERTAIN,NOT_REVIEWED,True,False,OPERATIONALLY_EXCLUDED_TREE_ID|TREE_DETECTION_UNCERTAIN|INSUFFICIENT_VERTICAL_CONTINUITY|SECTION_RADIUS_EXCEEDS_AUTOMATIC_COHORT_GUARDRAIL
TREE_0004,ALTERNATIVE_POM,ALTERNATIVE_POM,1.7,-6.728825,6.58,,20.68,FULL_LAS_ROBUST_CIRCLE_PERPENDICULAR_TO_LOCAL_AXIS,0.002748,0.083522,0.979455,1.020976,340.0,0.000533,0.016186,3,11925,2344,89.39,HIGH,PROBABLE,NOT_REVIEWED,True,False,FULL_SOURCE_LAS_PERPENDICULAR_REFIT|ROBUST_MULTI_HEIGHT_STABILITY_QA|STANDARD_HEIGHT_UNRELIABLE_CLEANER_SECTION_SELECTED_ABOVE|POM_NOT_TIED_TO_PROP_ROOT_PLUS_030|STANDARD_REJECTED_NO_PLAUSIBLE_PERPENDICULAR_FIT
TREE_0005,MANUAL_REVIEW,MANUAL_REVIEW,,-5.915935,,,,,0.015516,0.031669,0.999101,1.0009,360.0,0.04034,0.082337,3,63963,16661,84.84,MANUAL_REVIEW,PROBABLE,NOT_REVIEWED,True,False,SECTION_RADIUS_EXCEEDS_AUTOMATIC_COHORT_GUARDRAIL
TREE_0006,MANUAL_REVIEW,MANUAL_REVIEW,,-6.729703,,,,,0.014789,0.034246,0.980075,1.02033,310.0,0.003326,0.007702,2,65416,21836,90.52,MANUAL_REVIEW,UNCERTAIN,NOT_REVIEWED,True,False,TREE_DETECTION_UNCERTAIN|INSUFFICIENT_VERTICAL_CONTINUITY|LOCAL_AXIS_UNCERTAINTY_TOO_HIGH|SECTION_RADIUS_EXCEEDS_AUTOMATIC_COHORT_GUARDRAIL|CLEANER_SMALLER_UPPER_SECTION_AVAILABLE
TREE_0007,MANUAL_REVIEW,MANUAL_REVIEW,,-6.747363,,,,,0.017202,0.050751,0.943024,1.060418,350.0,0.0,0.0,1,61499,15119,81.29,MANUAL_REVIEW,UNCERTAIN,NOT_REVIEWED,True,False,TREE_DETECTION_UNCERTAIN|INSUFFICIENT_VERTICAL_CONTINUITY|SECTION_RADIUS_EXCEEDS_AUTOMATIC_COHORT_GUARDRAIL
TREE_0008,ALTERNATIVE_POM,ALTERNATIVE_POM,1.6,-6.657097,6.39,,20.06,FULL_LAS_ROBUST_CIRCLE_PERPENDICULAR_TO_LOCAL_AXIS,0.003122,0.097772,0.9782,1.022286,360.0,0.000657,0.020561,3,80381,41317,88.49,HIGH,PROBABLE,NOT_REVIEWED,True,False,FULL_SOURCE_LAS_PERPENDICULAR_REFIT|ROBUST_MULTI_HEIGHT_STABILITY_QA|STANDARD_HEIGHT_UNRELIABLE_CLEANER_SECTION_SELECTED_ABOVE|POM_NOT_TIED_TO_PROP_ROOT_PLUS_030|STANDARD_REJECTED_INSUFFICIENT_VERTICAL_CONTINUITY
TREE_0009,ALTERNATIVE_POM,ALTERNATIVE_POM,1.6,-6.727257,4.14,,13.02,FULL_LAS_ROBUST_CIRCLE_PERPENDICULAR_TO_LOCAL_AXIS,0.003383,0.163247,0.851267,1.17472,330.0,0.000121,0.005816,3,10060,1732,76.71,MEDIUM,CONFIRMED,NOT_REVIEWED,True,False,FULL_SOURCE_LAS_PERPENDICULAR_REFIT|ROBUST_MULTI_HEIGHT_STABILITY_QA|STANDARD_HEIGHT_UNRELIABLE_CLEANER_SECTION_SELECTED_ABOVE|POM_NOT_TIED_TO_PROP_ROOT_PLUS_030|STANDARD_REJECTED_QUALITY_SCORE_BELOW_THRESHOLD|STANDARD_REJECTED_INSUFFICIENT_ARC_COVERAGE|STANDARD_REJECTED_ELLIPSE_TOO_NONCIRCULAR|STANDARD_REJECTED_RADIUS_RANGE_UNSTABLE_ACROSS_HEIGHTS|STANDARD_REJECTED_SECTION_RADIUS_EXCEEDS_AUTOMATIC_COHORT_GUARDRAIL|STANDARD_REJECTED_CLEANER_SMALLER_UPPER_SECTION_AVAILABLE
TREE_0010,ALTERNATIVE_POM,ALTERNATIVE_POM,1.9,-6.449524,10.29,,32.34,FULL_LAS_ROBUST_CIRCLE_PERPENDICULAR_TO_LOCAL_AXIS,0.003084,0.059927,0.992709,1.007344,310.0,0.000542,0.010536,3,1599,572,92.02,HIGH,PROBABLE,NOT_REVIEWED,True,False,FULL_SOURCE_LAS_PERPENDICULAR_REFIT|ROBUST_MULTI_HEIGHT_STABILITY_QA|STANDARD_HEIGHT_UNRELIABLE_CLEANER_SECTION_SELECTED_ABOVE|POM_NOT_TIED_TO_PROP_ROOT_PLUS_030|STANDARD_REJECTED_NO_PLAUSIBLE_PERPENDICULAR_FIT
